task_id,source,primary_task,confidence,unresolved,adjudicated,question
agricultural_revenue_management_and_optimization_18,datamind_sql,ranking,0.7,False,False,How many farmers have the highest average revenue over the years?
algorithmic_trading_and_risk_management_8,datamind_sql,ranking,0.7,False,False,"- Total trade value is calculated by summing the product of the price and quantity for each trade;
- The `DENSE_RANK()` function assigns a unique rank to each asset based on its total trade value, with ties receiving the same rank;
- The performance metrics include various measures such as return, volatility, and others, which are calculated on specific dates;
- The minimum risk tolerance for a strategy represents the lowest acceptable level of risk for that strategy.
What are the key metrics and rankings for the most valuable assets, and how do they relate to the minimum risk tolerance and performance of the associated trading strategies?"
american_football_game_data_and_analytics_0,datamind_sql,comparison,0.7,False,False,"; A 'play type' might refer to a specific category of actions in a game, such as passing or running; The 'cumulative points' refer to the total points scored by consecutive players in a specific play type within a game; The 'average cumulative points' are the mean cumulative points scored across all games with the same weather conditions.
What are the types of plays, their corresponding cumulative points scored by the first player, the average cumulative points scored under the same weather conditions, and how much higher or lower these are compared to the average, across all weather conditions, sorted by play type and cumulative points in descending order?"
battery_25,datamind_sql,descriptive_statistics,0.6,False,False,"NMC refers to a type of lithium-ion battery chemistry (Lithium Nickel Manganese Cobalt Oxide); C20 is a standard discharge test rate where the battery is discharged over 20 hours.
What is the typical voltage observed in NMC cells during C20 testing when the voltage is above zero?"
biomedical_research_data_management_11,datamind_sql,ranking,0.7,False,False,"Could you determine the highest average value of mean arterial blood pressure measured using the intra-aortic abdominal radiotelemetry method, and provide the study name, institution, strain name, and unit of measurement for the experiment with this value?"
bus_stop_wait_time_analysis_0,datamind_sql,record_retrieval,0.7,False,False,"Could you tell me the wait time category (whether it is 'Low', 'Medium', or 'High') for the bus stop with the unique identifier of 1, based on the average wait time during peak hours?"
business_contact_information_and_company_directory_7,datamind_sql,record_retrieval,0.7,False,False,"Return the names of companies along with their interaction counts, contact counts, and employee counts, ordered in descending order by company name."
climate_change_impact_analysis_and_emissions_tracking_0,datamind_sql,temporal_analysis,0.7,False,False,"- Cumulative carbon emissions represent the total amount of carbon released into the atmosphere over the years;
- Average CO2 concentration is measured in parts per million (ppm) and provides insight into the levels of this greenhouse gas in the atmosphere;
- The query helps in understanding the historical trend of carbon emissions and CO2 concentrations, which are key indicators of climate change.
What is the year-by-year journey of our planet's cumulative carbon burden and its atmospheric CO2 blanket, as it weaves through the tapestry of time?"
clothing_size_standards_and_measurement_data_0,datamind_sql,record_retrieval,0.7,False,False,"'Poor' fit ratings refer to dissatisfaction with how a product fits; 'Bust' measurements are taken professionally to ensure accuracy; Inventory levels and reorder points help manage stock; Returned products are those sent back to the seller; Preferred style refers to the customer's favored clothing style.
What are the detailed fit satisfaction ratings, corresponding inventory levels, and 'Bust' measurements for returned products, categorized by size and preferred style, where at least one poor fit has been reported?"
clothing_sizing_and_measurement_423153_27,datamind_sql,aggregation,0.7,False,False,"- 'Active clothing types' refer to clothing types that are currently available or in use in the system;
- 'Active size measurements' refer to measurements that are currently valid or applicable for the clothing types.
What is the average measurement of the active clothing types, as if they were all part of a harmonious ensemble?"
country_economic_and_industrial_data_analysis_15,datamind_sql,record_retrieval,0.6,False,False,"""Economic landscapes"" metaphorically refers to the economic activities and structures present in different countries; ""cultivate"" metaphorically suggests the development and nurturing of particular economic sectors within a country.
Illuminate the map of the world's economic landscapes by naming the countries and uncovering the sectors they cultivate."
cybersecurity_threat_classification_and_metrics_0,datamind_sql,record_retrieval,0.7,False,False,"- F1 score is a measure of a test's accuracy, considering both precision and recall.
- Average detection rate refers to the overall accuracy of a system in identifying threats.
- ""Categories without system-specific details"" refers to the cases where only the category's average detection rate is provided, not linked to a specific system.
Could you list the names of the threat categories along with the names of the detection systems and their associated total F1 scores? Additionally, for categories without system-specific details, could you also provide the average detection rates?"
demographic_and_economic_data_analysis_159485_18,datamind_sql,temporal_analysis,0.7,False,False,"What is the cumulative population for each region, ordered by age group, gender, and income bracket?"
education_and_employment_statistics_161016_5,datamind_sql,unresolved,0.9,True,True,"- ""Active user reports"" refer to reports that are currently marked as active in the system;
- ""Report accesses"" refer to the number of times reports have been accessed by users;
- ""Employees in each age group"" refers to the total count of employees categorized by age group;
- ""Average salaries in each region"" refers to the mean salary calculated for each region.
What is the combined total of all active user reports, report accesses, employees in each age group, and average salaries in each region, as if these were ingredients in a grand recipe of organizational metrics?"
election_results_and_voter_turnout_3312_0,datamind_sql,aggregation,0.7,False,False,"I want to know the names of the provinces, the total number of elections held, and the total number of valid ballots cast in each province, along with the district name, election date, and voter turnout percentage for the election with the highest turnout in each province, as well as the average voter turnout for each province, and the name, party, and percentage of votes received by the top candidate in the top election for each district."
energy_demand_forecasting_and_analysis_25000_5,datamind_sql,aggregation,0.6,False,False,"- 'ER' refers to a specific geographic area at the state level.
- 'Frequently accessed' implies more than 5 log entries in the access logs.
- 'Warm temperature' is defined as above 25 degrees Celsius.
- 'Low humidity' is defined as below 60%.
What is the maximum energy demand in the geographic area 'ER' during the season, where the area has the highest energy demand, the previous energy demand is recorded, the total seasonal energy demand exceeds 10,000, the area is frequently accessed, the temperature is warm, and the humidity is low?"
environmental_monitoring_and_data_analysis_874180_22,datamind_sql,arithmetic_calculation,0.7,False,False,"Could you find the minimum squared distance from the average geographic coordinates (latitude and longitude) of all active stations, including the sensor measurements and their respective stations?"
facial_emotion_recognition_and_analysis_8,datamind_sql,temporal_analysis,0.7,False,False,"Could you provide the cumulative difference in emotion intensity (zdiff) for the 'brow' muscle, recorded over time, for all marketing trials where participants have given consent?"
film_industry_data_management_176662_9,datamind_sql,counting,0.7,False,False,How many directors have directed the most movies or have directed an average number of movies?
financial_market_data_analysis_618414_0,datamind_sql,counting,0.7,False,False,How many stock instruments have the highest trading volume on any given date?
financial_market_data_analysis_720209_25,datamind_sql,ranking,0.7,False,False,"I want to know the highest prices and the corresponding timestamps of the most recently accessed market data for the top 3 cryptocurrency pairs, based on the most recent access dates."
financial_performance_and_revenue_analysis_2,datamind_sql,counting,0.7,False,False,"What is the total number of financial metrics, considering their associations with financial data, alerts, report metrics, reports, notifications, user permissions, and audit logs?"
fitness_and_exercise_management_17,datamind_sql,record_retrieval,0.7,False,False,"Retrieve the user ID, name, and email of each trainer, the name, start date, and end date of each workout routine they created, along with the following statistics: the number of unique trainers involved, the average number of workouts per client, the average heart rate during workouts, the average mood after workouts, the total count of excellent moods, the number of unique clients who provided feedback, the average rating given by these clients, the count of five-star ratings, and the count of four-to-five star ratings. Order the results by user ID and routine ID."
global_terrorism_database_14,datamind_sql,temporal_analysis,0.7,False,False,"What is the highest cumulative number of casualties from attacks, considering the cumulative impact across cities, states, and countries over the years and months?"
housing_and_support_services_data_management_10,datamind_sql,temporal_analysis,0.7,False,False,"Could you provide the cumulative total of individuals or households that moved, categorized by exit destination, household type, and movement type, and list the results in order of most recent update time, followed by exit destination, household type, and movement type?"
marine_ecosystem_monitoring_and_data_analysis_0,datamind_sql,record_retrieval,0.7,False,False,"I want to know the names, statuses, average record values, minimum depth ranges, and maximum depth ranges of marine features that are either monitored or endangered, have a habitat type of either 'Benthic' or 'Pelagic', and have been surveyed between 2022 and 2023, listed in order from shallowest to deepest and then alphabetically by feature name."
marine_research_and_scientific_expeditions_29,datamind_sql,record_retrieval,0.7,False,False,"External knowledge: The concept of ""top-level cruises"" implies cruises that do not have a parent or superior cruise, possibly indicating they are the primary or initial cruises from which others may be derived or organized. A ""cruise code"" is a unique identifier or reference number assigned to each cruise for identification, tracking, or organization purposes.
What are the codes for all the top-level cruises, ordered by their assigned codes?"
medical_imaging_data_analysis_and_patient_diagnosis_11,datamind_sql,record_retrieval,0.7,False,False,"I want to know the detailed information for the most recent images of each patient, including the patient's ID, age, gender, contact information, the number of images they have, the first and last upload dates of these images, the names of any findings, and the confidence scores of those findings. Can you provide this information, ordered by patient ID and finding name?"
movie_information_and_review_platform_0,datamind_sql,record_retrieval,0.7,False,False,"Could you tell me the title of the top-rated movie with a featured review, the content of the featured review, the rating given, the date the review was written, the username of the reviewer, the number of reviews the reviewer has written, and the average rating of the movie?"
movies_74,datamind_sql,ranking,0.7,False,False,"1. ""Big-budget films"" = movies with budget > $100 million
2. ""Financially successful"" = highest (revenue - budget) profit
3. ""Directors' track records"" = includes their career total profit and profitability rank
4. ""Genre trends"" = categorization based on:
   - Title containing ""Pirate"" → Adventure
   - High ratings (>7.5) → Critical Darling
   - High popularity (>100) → Blockbuster
   - Others → Other
5. ""Best investments by filmmakers"" = top 3 most profitable films per director
What are the most financially successful big-budget films, considering their directors' track records and how they fit into broader genre trends, focusing on those that represent the best investments by their filmmakers?

Break this down to show:
1. The top 20 most profitable films with budgets exceeding $100 million
2. Their directors' gender and overall career performance
3. How these films are categorized based on their themes and reception
4. Only including films that rank among the top 3 most profitable works by their respective directors"
pharmaceutical_research_and_development_27,datamind_sql,aggregation,0.7,False,False,"What is the average molecular weight of the proteins associated with the top assay results for each small molecule, where the top results are determined by the highest standard deviation, sequence length, and molecular weight of the protein?"
professional_baseball_player_statistics_and_salary_15,datamind_sql,record_retrieval,0.7,False,False,Find the dates of games where the top batting average performers played.
project_management_and_issue_tracking_for_software_development_26,datamind_sql,unresolved,0.2,True,False,"How many users have issues that match the total number of issues in terms of active and inactive plugins, comments, and status counts?"
sailing_competition_management_and_analysis_0,datamind_sql,counting,0.7,False,False,Could you please calculate the total number of boats that have been ranked within their respective fleets based on the number of competitions they have participated in?
stellar_astrophysics_and_star_properties_14,datamind_sql,counting,0.7,False,False,"I want to know how many unique evolutionary stages are represented in the distribution of stars with different spectral types and masses, considering their metallicity and position in the sky. Specifically, I am interested in stars on the main sequence, red giant branch, and asymptotic giant branch, and I want to see how these stars are distributed across various regions of the sky."
transportation_mode_share_and_policy_analysis_20,datamind_sql,ranking,0.7,False,False,"- 'Government Target' is a specific scenario name in the database, likely referring to a governmental initiative or policy.
- '18-35' is an age group, indicating young adults.
- 'Total access events' include all types of user interactions with the system, such as viewing and editing.
What are the geographical areas with the highest number of cyclists for the 'Government Target' scenario in 2011 for the age group 18-35, and who is the most active user in terms of total access events?"
university_database_management_3,datamind_sql,ranking,0.7,False,False,"Leading institutions: considered to be universities in the United States with large student bodies and significant academic prestige; Main city locations: refer to the primary city where the flagship campus of the university is situated; Presidents steering these educational giants: refers to the head administrators (presidents or chancellors) of the universities; Size of their student bodies: directly relates to the total number of students enrolled in each university.
Could you provide the names of some leading institutions in the US, alongside their main city locations, current enrollment figures, and the presidents steering these educational giants, arranged by the size of their student bodies from largest to smallest?"
weather_data_collection_and_analysis_235934_10,datamind_sql,record_retrieval,0.7,False,False,"What is the most recent weather data entry, including the station name, location, weather parameters, geographical and elevational data, data source details, average temperature, station count per data source, average quality score, alarm count, and the title of the latest report?"
